image,word_text,font_color,predicted_color,is_word_prediction,is_color_prediction
red_as_black.png,red,black,red,True,False
red_as_blue.png,red,blue,red,True,False
red_as_brown.png,red,brown,red,True,False
red_as_gray.png,red,gray,red,True,False
red_as_green.png,red,green,red,True,False
red_as_orange.png,red,orange,red,True,False
red_as_pink.png,red,pink,red,True,False
red_as_purple.png,red,purple,purple,False,True
red_as_red.png,red,red,red,True,True
red_as_yellow.png,red,yellow,red,True,False
blue_as_black.png,blue,black,blue,True,False
blue_as_blue.png,blue,blue,blue,True,True
blue_as_brown.png,blue,brown,blue,True,False
blue_as_gray.png,blue,gray,blue,True,False
blue_as_green.png,blue,green,blue,True,False
blue_as_orange.png,blue,orange,blue,True,False
blue_as_pink.png,blue,pink,blue,True,False
blue_as_purple.png,blue,purple,blue,True,False
blue_as_red.png,blue,red,blue,True,False
blue_as_yellow.png,blue,yellow,blue,True,False
green_as_black.png,green,black,green,True,False
green_as_blue.png,green,blue,green,True,False
green_as_brown.png,green,brown,green,True,False
green_as_gray.png,green,gray,green,True,False
green_as_green.png,green,green,green,True,True
green_as_orange.png,green,orange,green,True,False
green_as_pink.png,green,pink,green,True,False
green_as_purple.png,green,purple,purple,False,True
green_as_red.png,green,red,green,True,False
green_as_yellow.png,green,yellow,green,True,False
yellow_as_black.png,yellow,black,yellow,True,False
yellow_as_blue.png,yellow,blue,yellow,True,False
yellow_as_brown.png,yellow,brown,yellow,True,False
yellow_as_gray.png,yellow,gray,yellow,True,False
yellow_as_green.png,yellow,green,yellow,True,False
yellow_as_orange.png,yellow,orange,yellow,True,False
yellow_as_pink.png,yellow,pink,yellow,True,False
yellow_as_purple.png,yellow,purple,purple,False,True
yellow_as_red.png,yellow,red,yellow,True,False
yellow_as_yellow.png,yellow,yellow,yellow,True,True
orange_as_black.png,orange,black,orange,True,False
orange_as_blue.png,orange,blue,blue,False,True
orange_as_brown.png,orange,brown,orange,True,False
orange_as_gray.png,orange,gray,orange,True,False
orange_as_green.png,orange,green,green,False,True
orange_as_orange.png,orange,orange,orange,True,True
orange_as_pink.png,orange,pink,pink,False,True
orange_as_purple.png,orange,purple,purple,False,True
orange_as_red.png,orange,red,red,False,True
orange_as_yellow.png,orange,yellow,yellow,False,True
purple_as_black.png,purple,black,purple,True,False
purple_as_blue.png,purple,blue,purple,True,False
purple_as_brown.png,purple,brown,purple,True,False
purple_as_gray.png,purple,gray,purple,True,False
purple_as_green.png,purple,green,purple,True,False
purple_as_orange.png,purple,orange,purple,True,False
purple_as_pink.png,purple,pink,purple,True,False
purple_as_purple.png,purple,purple,purple,True,True
purple_as_red.png,purple,red,purple,True,False
purple_as_yellow.png,purple,yellow,purple,True,False
brown_as_black.png,brown,black,brown,True,False
brown_as_blue.png,brown,blue,brown,True,False
brown_as_brown.png,brown,brown,brown,True,True
brown_as_gray.png,brown,gray,brown,True,False
brown_as_green.png,brown,green,brown,True,False
brown_as_orange.png,brown,orange,brown,True,False
brown_as_pink.png,brown,pink,brown,True,False
brown_as_purple.png,brown,purple,purple,False,True
brown_as_red.png,brown,red,brown,True,False
brown_as_yellow.png,brown,yellow,brown,True,False
pink_as_black.png,pink,black,pink,True,False
pink_as_blue.png,pink,blue,pink,True,False
pink_as_brown.png,pink,brown,pink,True,False
pink_as_gray.png,pink,gray,pink,True,False
pink_as_green.png,pink,green,pink,True,False
pink_as_orange.png,pink,orange,pink,True,False
pink_as_pink.png,pink,pink,pink,True,True
pink_as_purple.png,pink,purple,pink,True,False
pink_as_red.png,pink,red,pink,True,False
pink_as_yellow.png,pink,yellow,pink,True,False
gray_as_black.png,gray,black,gray,True,False
gray_as_blue.png,gray,blue,gray,True,False
gray_as_brown.png,gray,brown,gray,True,False
gray_as_gray.png,gray,gray,gray,True,True
gray_as_green.png,gray,green,green,False,True
gray_as_orange.png,gray,orange,gray,True,False
gray_as_pink.png,gray,pink,gray,True,False
gray_as_purple.png,gray,purple,gray,True,False
gray_as_red.png,gray,red,gray,True,False
gray_as_yellow.png,gray,yellow,gray,True,False
black_as_black.png,black,black,black,True,True
black_as_blue.png,black,blue,black,True,False
black_as_brown.png,black,brown,black,True,False
black_as_gray.png,black,gray,black,True,False
black_as_green.png,black,green,black,True,False
black_as_orange.png,black,orange,black,True,False
black_as_pink.png,black,pink,black,True,False
black_as_purple.png,black,purple,black,True,False
black_as_red.png,black,red,black,True,False
black_as_yellow.png,black,yellow,black,True,False
